na nb nc nd la lb lc ld ja jb jc jd ma mb mc md   coul_dir         coul_ex          br_dir           br_ex            total
 7  7  7  7  1  1  1  1  3  3  1  3  1 -3  1 -3   0.63090467E-02  -0.12618093E-01  -0.21016954E-06   0.00000000E+00  -0.63092568E-02
 7  7  7  7  1  1  1  1  3  3  1  3  1 -3 -1 -1  -0.10927589E-01   0.00000000E+00  -0.12134144E-06  -0.24268288E-06  -0.10927953E-01
 7  7  7  7  1  1  1  1  3  3  3  3  1 -3  1 -3   0.23231029E+00  -0.10014198E-01   0.30755707E-06   0.21531166E-06   0.22229662E+00
 8  8  7  7  0  0  1  1  1  1  1  1  1 -1  1 -1  -0.18052421E-02  -0.36104842E-02  -0.30559323E-06  -0.61118645E-06  -0.54166430E-02
 8  8  7  7  0  0  1  1  1  1  1  3  1 -1  1 -1  -0.44316439E-02   0.44316439E-02  -0.34401697E-06   0.34401697E-06   0.29196167E-18
 8  8  7  7  0  0  1  1  1  1  1  3  1 -1 -1  1   0.44316439E-02  -0.44316439E-02   0.34401697E-06  -0.34401697E-06  -0.29196167E-18
 8  8  7  7  0  0  1  1  1  1  3  3  1 -1  1 -1   0.15228189E-01   0.76140944E-02   0.64748082E-06   0.38106480E-06   0.22843312E-01
 8  8  7  8  0  0  1  1  1  1  1  1  1 -1  1 -1   0.30418596E-02   0.60837192E-02  -0.19867645E-06  -0.39735290E-06   0.91249828E-02
 8  8  7  8  0  0  1  1  1  1  1  1  1 -1 -1  1  -0.60837192E-02  -0.30418596E-02   0.39735290E-06   0.19867645E-06  -0.91249828E-02
 8  8  7  8  0  0  1  1  1  1  3  1  1 -1 -1  1   0.12277030E-01  -0.12277030E-01  -0.30080389E-06   0.30080389E-06   0.44268059E-18
 8  8  7  8  0  0  1  1  1  1  3  1  1 -1  1 -1  -0.12277030E-01   0.12277030E-01   0.30080389E-06  -0.30080389E-06  -0.44268059E-18
 8  8  7  8  0  0  1  1  1  1  1  3  1 -1  1 -1  -0.63505250E-03   0.63505250E-03   0.12478325E-06  -0.12478325E-06  -0.29910851E-20
 8  8  7  8  0  0  1  1  1  1  1  3  1 -1 -1  1   0.63505250E-03  -0.63505250E-03  -0.12478325E-06   0.12478325E-06   0.29910851E-20
 8  8  7  8  0  0  1  1  1  1  3  3  1 -1  1 -1   0.30973316E-02   0.15486658E-02  -0.19465084E-06  -0.10306758E-06   0.46456997E-02
 8  8  7  8  0  0  1  1  1  1  3  3  1 -1 -1  1  -0.15486658E-02  -0.30973316E-02   0.10306758E-06   0.19465084E-06  -0.46456997E-02
 8  8  7  8  0  0  1  1  1  1  3  3  1 -1 -3  3   0.00000000E+00   0.46459975E-02  -0.11484324E-07  -0.28623409E-06   0.46456997E-02
 7  8  7  7  0  0  1  1  1  1  1  1 -1  1  1 -1   0.35984173E-03   0.17992086E-03   0.19037192E-05   0.95185962E-06   0.54261817E-03
 7  8  7  7  0  0  1  1  1  1  1  1  1 -1  1 -1  -0.17992086E-03  -0.35984173E-03  -0.95185962E-06  -0.19037192E-05  -0.54261817E-03
 7  8  7  7  0  0  1  1  1  1  1  3 -1  1  1 -1   0.89003958E-02  -0.13463186E-02  -0.11500460E-05   0.87261894E-06   0.75537998E-02
 7  8  7  7  0  0  1  1  1  1  1  3 -1 -1  1 -3   0.15415938E-01  -0.23318923E-02  -0.19919381E-05   0.15114203E-05   0.13083565E-01
 7  8  7  7  0  0  1  1  1  1  1  3 -1  1 -1  1  -0.89003958E-02   0.13463186E-02   0.11500460E-05  -0.87261894E-06  -0.75537998E-02
 7  8  7  7  0  0  1  1  1  1  1  3 -1 -1 -1 -1  -0.89003958E-02   0.13463186E-02   0.11500460E-05  -0.87261894E-06  -0.75537998E-02
