n1 n2 n3 n4 m1 m2 m3 m4   <n1n2|C|n3n4>            <n1n2|C|n4n3>            <n1n2|B|n3n4>            <1n2|B|n4n3>            Total
32 30 29 30 -1 -1 -1 -1    0.2938667778315660e-01   0.1798392737490469e-03  -0.2339770500392055e-06  -0.9507290282679384e-06   0.2920755526138578e-01
32 32 29 32 -1  1 -1  1    0.3187316291940578e-02   0.0000000000000000e+00   0.7828606892872567e-08  -0.1565721378574513e-07   0.3187339777761257e-02
30 32 29 31 -1  1  1 -1    0.8911825115325508e-02   0.0000000000000000e+00   0.1153937656900067e-05   0.3074603355118608e-08   0.8912975978379053e-02
31 32 31 32  3  1  3  1    0.1848082498373402e+00   0.2284795505690921e-01  -0.1340539561613073e-06  -0.9198549787444865e-06   0.1619610805814536e+00
31 32 31 32  3 -1  3 -1    0.1848082498373402e+00   0.0000000000000000e+00   0.1340539561613073e-06  -0.1146805038382584e-06   0.1848084985718002e+00
30 34 29 32  1  1  1  1   -0.6349189747344007e-03   0.3933382076048491e-03  -0.3557439564773845e-06  -0.1207439715213793e-06  -0.1028492182324206e-02
34 31 31 31 -3  1 -3  1    0.1877405472099396e-01   0.1352114557705015e-02   0.4653735463955175e-07  -0.3930115140618443e-07   0.1742202600179499e-01
34 31 31 31 -3 -1 -3 -1    0.1877405472099396e-01   0.1352114557705015e-02  -0.4653735463955175e-07  -0.1323758606852879e-06   0.1742202600179499e-01
34 31 31 31 -1  3 -1  3    0.1877405472099396e-01   0.1352114557705015e-02   0.4653735463955177e-07  -0.3930115140618443e-07   0.1742202600179499e-01
30 33 30 33 -1 -1 -1 -1    0.1728331224713181e+00   0.7386684902885107e-02  -0.1576118178591061e-06  -0.9334371724385079e-07   0.1654463733003324e+00
29 32 29 32 -1  1 -1  1    0.2000261204614819e+00   0.0000000000000000e+00   0.9181847258452514e-07  -0.1836219158055704e-06   0.2000263959018703e+00
29 32 29 32 -1 -1 -1 -1    0.2000261204614819e+00   0.7559637285105486e-02  -0.9181847258452514e-07  -0.9181095790278520e-07   0.1924664831688618e+00
29 31 29 31  1  3  1  3    0.2887410028985971e+00   0.3421082976867906e-01  -0.9417237463866356e-06  -0.5494493875659501e-05   0.2545347259000473e+00
29 31 29 31  1 -3  1 -3    0.2887410028985971e+00   0.0000000000000000e+00   0.9417237463866353e-06  -0.5184016171897891e-06   0.2887424630239606e+00
29 31 29 31 -1  3 -1  3    0.2887410028985971e+00   0.0000000000000000e+00   0.9417237463866356e-06  -0.5184016171897891e-06   0.2887424630239606e+00
29 31 29 31 -1 -3 -1 -3    0.2887410028985971e+00   0.3421082976867906e-01  -0.9417237463866353e-06  -0.5494493875659501e-05   0.2545347259000473e+00
31 34 29 29 -3  3  1 -1    0.0000000000000000e+00  -0.5692453615330609e-02   0.6785054223358652e-07  -0.7206958259095171e-06   0.5693242161698752e-02
31 33 29 32 -1 -1 -1 -1    0.8826036538257918e-02  -0.1833149775960368e-03   0.7554830184473265e-06   0.1809713363255113e-06   0.9009926027536077e-02
31 32 29 34 -1 -1 -1 -1    0.8122356354030366e-03   0.2007370768757974e-02  -0.4883306159969811e-06  -0.5059888734292326e-08  -0.1195618404082200e-02
31 32 29 34 -3  1 -1 -1    0.7034166941180248e-03   0.0000000000000000e+00  -0.4266960735283735e-06  -0.1752796873687937e-07   0.7030075260132333e-03
31 32 29 34 -3 -1 -1 -3    0.1218353453104555e-02   0.2007370768757974e-02  -0.7346837089107438e-06  -0.1517966620287697e-07  -0.7897368196961270e-03
31 34 30 33 -1  1 -1  1   -0.6962106873339985e-03  -0.2564655959432493e-03  -0.5183867547890176e-08   0.7924742768180589e-08  -0.4397582000010652e-03
31 34 30 33 -3  3  1 -1   -0.1392421374667996e-02  -0.8548853198108308e-04  -0.1070392409058282e-07   0.6395024910379070e-08  -0.1306949941635914e-02
34 34 31 31  1 -1  1 -1    0.3539853045549301e-02   0.0000000000000000e+00   0.1429215379113554e-07  -0.4275006052630528e-07   0.3539910087763618e-02
34 34 30 33  3 -3  1 -1    0.2672404725106111e-04  -0.1068961890042444e-03   0.7649592728247947e-10  -0.1625629668753684e-08   0.1336219383809016e-03
34 34 30 33  3 -3 -1  1   -0.1068961890042444e-03   0.2672404725106111e-04  -0.1625629668753684e-08   0.7649592728247947e-10  -0.1336219383809016e-03
34 32 30 32 -1 -1 -1 -1    0.0000000000000000e+00  -0.6351898552623310e-03  -0.2685816193298292e-08  -0.1249737499531796e-06   0.6353121431960909e-03
34 34 30 33  1 -1  1 -1   -0.5344809450212224e-04   0.8017214175318335e-04  -0.5928738411062147e-09   0.1109251754929950e-08  -0.1336219383809016e-03
30 32 30 32  1 -1  1 -1    0.1970575536349097e+00   0.3609522833989907e-02   0.4950855097707135e-07  -0.6106343856663805e-06   0.1934486909438565e+00
32 32 31 34  1 -1 -3  3    0.0000000000000000e+00   0.4646870425876627e-02   0.1148037871876375e-07  -0.2875296634864068e-06  -0.4646571415834423e-02
32 29 29 29 -1  1 -1  1    0.3807436321406543e-01   0.0000000000000000e+00   0.3263385754591712e-06  -0.6526771509183421e-06   0.3807534222979180e-01
30 34 30 34  1 -1  1 -1    0.1073255821941355e+00   0.4563249926203093e-03   0.6303196155573902e-08  -0.6370127362203096e-08   0.1068692698748387e+00
30 32 29 34  1  1  1  1   -0.6349189747344007e-03   0.0000000000000000e+00   0.3557439564773845e-06  -0.5720609970595532e-08  -0.6345575101679526e-03
30 32 29 34 -1 -1  1 -3   -0.1099711922929522e-02   0.0000000000000000e+00   0.6161666071044013e-06  -0.9908387119356563e-08  -0.1099085847935298e-02
31 31 29 32  1 -3 -1 -1    0.9412681053297449e-02   0.9412681053297449e-02  -0.1168220001398462e-05  -0.1168220001398462e-05   0.1111846548557027e-18
31 34 30 34  3 -1 -1  3   -0.1638914326501442e-02  -0.2105249414250590e-03   0.0000000000000000e+00   0.6717210957547453e-08  -0.1428396102287340e-02
31 31 30 31 -1  1 -1  1    0.6300806603849881e-02   0.0000000000000000e+00   0.7006432185179604e-07  -0.1401286437035921e-06   0.6301016796815437e-02
31 34 30 34 -1 -1 -1 -1    0.8194571632507209e-03   0.2105249414250589e-03  -0.6106039333033540e-08  -0.2152840043580716e-08   0.6089282686263726e-03
31 34 31 31 -1  1  3 -3    0.1352114557705015e-02  -0.1352114557705016e-02   0.3930115140618443e-07  -0.1323758606852879e-06   0.2704400792422122e-02
30 32 29 31 -1 -1  1 -3    0.1543573388791215e-01   0.0000000000000000e+00   0.1998678650517900e-05   0.5325369224187166e-08   0.1543772724119344e-01
30 32 29 31  1  1  1  1    0.8911825115325510e-02   0.0000000000000000e+00   0.1153937656900067e-05   0.3074603355118608e-08   0.8912975978379055e-02
30 32 29 31  1 -1  1 -1    0.8911825115325510e-02   0.0000000000000000e+00   0.1153937656900067e-05   0.3074603355118608e-08   0.8912975978379055e-02
31 32 31 32 -3  1 -3  1    0.1848082498373402e+00   0.0000000000000000e+00   0.1340539561613073e-06  -0.1146805038382584e-06   0.1848084985718002e+00
31 32 31 32 -3 -1 -3 -1    0.1848082498373402e+00   0.2284795505690921e-01  -0.1340539561613073e-06  -0.9198549787444865e-06   0.1619610805814536e+00
30 34 29 32 -1 -1 -1 -1    0.6349189747344007e-03  -0.3933382076048491e-03   0.3557439564773845e-06   0.1207439715213793e-06   0.1028492182324206e-02
34 30 31 30  1  1  1  1    0.2655560735280651e-01   0.1589760741939450e-02  -0.1972812951758342e-07  -0.2866831243959423e-07   0.2496585555104998e-01
30 33 29 32 -1  1 -1  1   -0.8039198594306544e-02   0.1299852071027269e-02  -0.5683854333100184e-06   0.3803506469815217e-06  -0.9339999401414103e-02
31 32 29 30 -1  1 -1  1    0.1348976820434680e-02   0.0000000000000000e+00   0.8792709522419219e-06   0.3074603355118608e-08   0.1349853016783567e-02
33 33 33 33  1 -1  1 -1    0.1435158508679674e+00   0.0000000000000000e+00   0.8894108963010072e-07  -0.1778821792602014e-06   0.1435161176912363e+00
33 33 29 29  1 -1  1 -1   -0.1333778081716975e-02   0.2667556163433949e-02  -0.1559542983013001e-06   0.3119085966026002e-06  -0.4001802108045828e-02
34 31 31 31 -1 -3 -1 -3    0.1877405472099396e-01   0.1352114557705016e-02  -0.4653735463955174e-07  -0.1323758606852879e-06   0.1742202600179499e-01
34 31 31 31  1  3  1  3    0.1877405472099396e-01   0.1352114557705016e-02  -0.4653735463955177e-07  -0.1323758606852879e-06   0.1742202600179499e-01
32 32 32 32  1 -1  1 -1    0.1635425273389038e+00   0.0000000000000000e+00   0.6874159496525192e-07  -0.1374831899305038e-06   0.1635427335636888e+00
33 33 30 30  1 -1  1 -1    0.7386684902885107e-02   0.0000000000000000e+00   0.9334371724385079e-07  -0.1866874344877016e-06   0.7386964934036839e-02
31 31 31 31  3 -3  1 -1   -0.1000571744136931e-01   0.1000571744136931e-01  -0.8334888110431558e-06   0.2159004679676228e-06  -0.2001248427201763e-01
31 31 31 31  1 -1  3 -3   -0.1000571744136931e-01   0.1000571744136931e-01  -0.8334888110431557e-06   0.2159004679676228e-06  -0.2001248427201763e-01
29 31 29 31  1  1  1  1    0.2887410028985971e+00   0.2280721984578603e-01  -0.3139079154622118e-06  -0.3835796456169597e-05   0.2659373049413518e+00
29 31 29 31  1 -1  1 -1    0.2887410028985971e+00   0.1140360992289301e-01   0.3139079154622118e-06  -0.2177099036679692e-05   0.2773398839826561e+00
29 31 29 31 -1  1 -1  1    0.2887410028985971e+00   0.1140360992289301e-01   0.3139079154622118e-06  -0.2177099036679692e-05   0.2773398839826561e+00
31 32 29 34  3  1  1  3    0.1218353453104555e-02   0.2007370768757974e-02  -0.7346837089107438e-06  -0.1517966620287698e-07  -0.7897368196961270e-03
31 32 29 34  3 -1  1  1    0.7034166941180248e-03   0.0000000000000000e+00  -0.4266960735283735e-06  -0.1752796873687937e-07   0.7030075260132333e-03
31 32 29 34  1  1  1  1    0.8122356354030366e-03   0.2007370768757974e-02  -0.4883306159969811e-06  -0.5059888734292326e-08  -0.1195618404082200e-02
31 32 29 34  1 -1  1 -1    0.8122356354030366e-03   0.0000000000000000e+00  -0.4927061858275256e-06  -0.2023955493716930e-07   0.8117631687721463e-03
31 34 30 33 -3  3 -1  1    0.3481053436669991e-03   0.3419541279243322e-03   0.2423839276543851e-08  -0.8689601697081345e-08   0.6162329183640539e-05
31 31 29 32  3 -3 -1  1    0.0000000000000000e+00   0.1630324181975212e-01   0.3194948402160984e-07  -0.2055365880861932e-05  -0.1630115450438724e-01
32 34 30 32  1 -3 -1 -1    0.1100181101766679e-02   0.0000000000000000e+00   0.2164608845313157e-06   0.4651970106583876e-08   0.1100392910681103e-02
34 34 30 33  1 -1 -1  1    0.8017214175318335e-04  -0.5344809450212224e-04   0.1109251754929950e-08  -0.5928738411062147e-09   0.1336219383809016e-03
